kind,coordinate,target,prepared,auxiliary
harmonic,-1.1999999999999993,0.14429280165987723,0.1452074723583123,0.0004499999999999996
harmonic,-1.0,0.1496661756801247,0.15070412322908533,0.00031250000000000006
harmonic,-0.7999999999999989,0.15421109354675647,0.15535570283977124,0.00019999999999999952
harmonic,-0.5999999999999996,0.15784124655925438,0.15907257634312147,0.0001124999999999999
harmonic,-0.3999999999999986,0.1604864217657565,0.16178177569143984,4.999999999999966e-05
harmonic,-0.1999999999999993,0.1620947600699068,0.16342938026118511,1.2499999999999914e-05
harmonic,0.0,0.16263444713601455,0.1639823000252487,0.0
harmonic,0.20000000000000107,0.1620947600699099,0.16342938026118545,1.2500000000000134e-05
harmonic,0.40000000000000036,0.16048642176576203,0.1617817756914408,5.00000000000001e-05
harmonic,0.6000000000000014,0.1578412465592627,0.1590725763431229,0.00011250000000000055
harmonic,0.8000000000000007,0.15421109354676796,0.15535570283977315,0.0002000000000000004
harmonic,1.0,0.14966617568013815,0.15070412322908774,0.00031250000000000006
harmonic,1.200000000000001,0.14429280165989342,0.14520747235831505,0.0004500000000000009
harmonic,1.4000000000000004,0.1381906520608568,0.1389691841300978,0.0006125000000000004
harmonic,1.6000000000000014,0.13146970969150362,0.13210326071887843,0.0008000000000000016
harmonic,1.8000000000000007,0.12424697597809439,0.12473082525522163,0.001012500000000001
harmonic,2.0,0.11664310971119728,0.116976599291678,0.0012500000000000002
harmonic,2.200000000000001,0.10877912181349889,0.10896544328478605,0.0015125000000000017
harmonic,2.4000000000000004,0.10077325036624625,0.10081910214652501,0.0018000000000000008
harmonic,2.6000000000000014,0.09273812485875352,0.09265325623150689,0.002112500000000003
harmonic,2.8000000000000007,0.08477830871792219,0.08457498446293396,0.0024500000000000017
harmonic,3.0,0.07698828607069894,0.07668069774835004,0.0028125000000000008
harmonic,3.200000000000001,0.06945093393624498,0.06905458814754582,0.0032000000000000028
harmonic,3.4000000000000004,0.06223649617214304,0.061767610107913255,0.0036125000000000016
harmonic,3.6000000000000014,0.055402051931456094,0.054876980255864245,0.004050000000000004
harmonic,3.8000000000000007,0.04899145034249318,0.048426165709805506,0.004512500000000003
harmonic,4.0,0.04303566554880921,0.04244530925116289,0.005000000000000001
harmonic,4.199999999999999,0.03755351278204274,0.0369520272856894,0.005512499999999999
harmonic,4.400000000000002,0.03255265710141676,0.0319525066169027,0.006050000000000007
harmonic,4.600000000000001,0.02803084182843961,0.027442822016860643,0.0066125000000000055
harmonic,4.800000000000001,0.02397726326571956,0.02341039676735704,0.007200000000000003
harmonic,5.0,0.02037402152253485,0.019835532337996432,0.007812500000000002
harmonic,5.199999999999999,0.017197583521235172,0.016692940199702293,0.00845
harmonic,5.400000000000002,0.014420202774079462,0.013953218744741484,0.009112500000000008
harmonic,5.600000000000001,0.012011250512141261,0.011584228420810501,0.009800000000000007
harmonic,5.800000000000001,0.009938423452375158,0.009552330940103174,0.010512500000000004
harmonic,6.0,0.00816880421292838,0.007823468606263151,0.011250000000000003
harmonic,6.199999999999999,0.0066697605437993504,0.006364070919772915,0.012012499999999999
harmonic,6.400000000000002,0.0054096786720245005,0.0051417860964503865,0.012800000000000011
harmonic,6.600000000000001,0.004358533847531806,0.00412604136596158,0.013612500000000008
harmonic,6.800000000000001,0.003488307433070717,0.003288444201421306,0.014450000000000006
harmonic,7.0,0.0027732645487026403,0.002603039748750119,0.015312500000000003
harmonic,7.200000000000003,0.0021901094034135734,0.0020464435810292393,0.016200000000000016
harmonic,7.400000000000002,0.0017180371518346687,0.0015978701698639007,0.017112500000000013
harmonic,7.600000000000001,0.0013387015901160115,0.0012390775225625832,0.01805000000000001
harmonic,7.800000000000001,0.0010361174742064812,0.0009542478492172247,0.01901250000000001
harmonic,8.0,0.0007965149424108933,0.0007298224185205195,0.020000000000000004
harmonic,8.200000000000003,0.0006081616840615306,0.0005543067054096317,0.02101250000000002
harmonic,8.400000000000002,0.0004611663310802384,0.000418059516176426,0.022050000000000014
harmonic,8.600000000000001,0.0003472742447282367,0.0003130772933981472,0.02311250000000001
harmonic,8.8,0.00025966457790949646,0.0002327823597352401,0.02420000000000001
harmonic,9.0,0.00019275533031429433,0.00017182158593371846,0.025312500000000005
harmonic,9.200000000000003,0.00014202116101799547,0.00012587994553002436,0.026450000000000022
harmonic,9.400000000000002,0.00010382703079318786,9.151169725564114e-05,0.02761250000000002
harmonic,9.600000000000001,7.527933714885476e-05,6.599051069533419e-05,0.028800000000000013
harmonic,9.8,5.409507995694967e-05,4.717874882810639e-05,0.03001250000000001
harmonic,10.0,3.8488739095095016e-05,3.3415282011644585e-05,0.03125000000000001
harmonic,10.200000000000003,2.7075931310418762e-05,2.342063582216045e-05,0.03251250000000003
harmonic,10.400000000000002,1.879250846724621e-05,1.621791432513815e-05,0.03380000000000002
harmonic,10.600000000000001,1.282752782285741e-05,1.1067743658587907e-05,0.03511250000000002
harmonic,10.8,8.56843176061342e-06,7.415447800305831e-06,0.03645000000000001
harmonic,11.0,5.556787001785533e-06,4.848693638329925e-06,0.037812500000000006
harmonic,11.200000000000003,3.4530235516439778e-06,3.063794096695466e-06,0.039200000000000026
harmonic,11.400000000000002,2.0087587730679397e-06,1.8391532448794797e-06,0.04061250000000002
harmonic,11.600000000000001,1.0454755045731479e-06,1.0163486702069414e-06,0.04205000000000002
harmonic,11.8,4.385355218275831e-07,4.890959591042817e-07,0.04351250000000001
harmonic,12.0,1.0574944507169521e-07,1.8848010241469193e-07,0.04500000000000001
double_well,-12.0,4.351915393495572e-22,3.3625715956011264e-60,2.24
double_well,-11.8,6.831342015242242e-21,6.887354001806714e-34,2.0764977187500007
double_well,-11.6,8.683368905983974e-20,1.319780724051287e-33,1.9217835000000003
double_well,-11.4,1.0041542785877684e-18,2.742193221598233e-33,1.7755502187500005
double_well,-11.2,1.0658270787835593e-17,1.7393554810247227e-32,1.6374959999999998
double_well,-11.0,1.0396483817983166e-16,8.666684749742563e-33,1.5073242187500002
double_well,-10.8,9.326004711428099e-16,9.629649721936181e-34,1.3847435000000006
double_well,-10.6,7.698606519936873e-15,3.8518598887744724e-33,1.26946771875
double_well,-10.4,5.852713547195555e-14,6.162975822039156e-32,1.1612160000000002
double_well,-10.2,4.10088651655029e-13,1.38666955995881e-31,1.05971271875
double_well,-10.0,2.6506092620579634e-12,1.540743955509789e-32,0.9646875000000001
double_well,-9.8,1.5818254007400666e-11,1.540743955509789e-32,0.8758752187500005
double_well,-9.6,8.724460708653849e-11,1.540743955509789e-32,0.793016
double_well,-9.4,4.4517700186285006e-10,9.629649721936181e-32,0.7158552187500004
double_well,-9.2,2.1038357989923405e-09,3.466673899897025e-32,0.6441434999999998
double_well,-9.0,9.218713541380555e-09,4.660750465417112e-31,0.57763671875
double_well,-8.8,3.749948748066119e-08,1.340832427282394e-29,0.5160960000000002
double_well,-8.6,1.4178038033045857e-07,2.8812778636508027e-28,0.45928771874999996
double_well,-8.4,4.988882803617133e-07,3.964373679090547e-27,0.4069835000000001
double_well,-8.2,1.6359418822479714e-06,3.6008365872354704e-26,0.35896021875
double_well,-8.0,5.006226533388323e-06,3.19724639794937e-07,0.31500000000000006
double_well,-7.8,1.4316951192832818e-05,2.5918037928636446e-06,0.27489021874999997
double_well,-7.6,3.831997052627163e-05,1.3831125990997876e-05,0.23842349999999998
double_well,-7.3999999999999995,9.613651750802343e-05,5.045103168268225e-05,0.20539771874999993
double_well,-7.199999999999999,0.00022641759456968352,0.0001475303695656981,0.1756159999999999
double_well,-7.0,0.0005013898462238713,0.0003739700144278561,0.14888671875
double_well,-6.8,0.0010456435097542058,0.0008522510601179913,0.12502349999999998
double_well,-6.6,0.0020570602118934107,0.001781297510734705,0.10384521874999997
double_well,-6.3999999999999995,0.0038237601727476923,0.003455704984195712,0.08517599999999997
double_well,-6.199999999999999,0.006727464707488454,0.006270941367825499,0.06884521874999995
double_well,-6.0,0.011222184227330921,0.010702525266291871,0.05468750000000001
double_well,-5.8,0.01777981467167538,0.017249931995078866,0.04254271875000001
double_well,-5.6,0.026802163157458363,0.02634432751569489,0.032255999999999986
double_well,-5.3999999999999995,0.038510938224583416,0.03823202299445656,0.02367771874999998
double_well,-5.199999999999999,0.05283949691643669,0.052858744679242044,0.016663499999999977
double_well,-5.0,0.06935730010937145,0.06978770162185208,0.011074218750000002
double_well,-4.8,0.0872556340096775,0.08818218505392847,0.006776
double_well,-4.6,0.10541012511435417,0.10686975473290464,0.0036402187499999955
double_well,-4.3999999999999995,0.12251531469874699,0.12448349849364272,0.0015434999999999963
double_well,-4.199999999999999,0.13726589172739034,0.13965365110986092,0.0003677187499999971
double_well,-4.0,0.1485454943129749,0.15120800236057097,0.0
double_well,-3.799999999999999,0.15558203016429367,0.15833718625377435,0.00033271875000000326
double_well,-3.5999999999999996,0.15803844856254226,0.16069143228796312,0.0012635000000000023
double_well,-3.4000000000000004,0.15602573030543293,0.1583944043817112,0.002695218749999997
double_well,-3.1999999999999993,0.15004420353483194,0.1519804972884312,0.004536000000000009
double_well,-3.0,0.14087422800315763,0.1422780778605539,0.00669921875
double_well,-2.799999999999999,0.12944437365962627,0.1302688352991449,0.009103500000000016
double_well,-2.5999999999999996,0.11670414903041605,0.11695230478843124,0.011672718750000007
double_well,-2.3999999999999986,0.1035213052634278,0.10323703706598435,0.014336000000000017
double_well,-2.1999999999999993,0.09061408202724844,0.08986946867315941,0.01702771875000001
double_well,-2.0,0.07851957786591511,0.07740160859608541,0.019687500000000004
double_well,-1.799999999999999,0.0675927440571821,0.06619145165202278,0.022260218750000015
double_well,-1.5999999999999996,0.05802703349678083,0.0564263252649176,0.024696000000000006
double_well,-1.3999999999999986,0.049887151493854594,0.04815879930781037,0.02695021875000002
double_well,-1.1999999999999993,0.043145747418201416,0.0413463656883267,0.028983500000000013
double_well,-1.0,0.03771823180043547,0.03588868424944038,0.030761718750000003
double_well,-0.7999999999999989,0.03349236641831165,0.03165889704377127,0.03225600000000001
double_well,-0.5999999999999996,0.030351330664181067,0.02852774354867569,0.03344271875000001
double_well,-0.3999999999999986,0.028190392178767672,0.026380742214123083,0.03430350000000001
double_well,-0.1999999999999993,0.02692809696994547,0.025129533921046606,0.034825218750000005
double_well,0.0,0.026513156446997324,0.02471873959671007,0.035
double_well,0.20000000000000107,0.026928096969944502,0.025129533921045968,0.03482521875
double_well,0.40000000000000036,0.028190392178765716,0.02638074221412182,0.0343035
double_well,0.6000000000000014,0.030351330664177664,0.02852774354867371,0.033442718749999996
double_well,0.8000000000000007,0.03349236641830678,0.03165889704376839,0.032256
double_well,1.0,0.037718231800428624,0.0358886842494362,0.030761718750000003
double_well,1.200000000000001,0.043145747418192194,0.04134636568832114,0.02898349999999999
double_well,1.4000000000000004,0.04988715149384252,0.04815879930780319,0.026950218749999998
double_well,1.6000000000000014,0.05802703349676507,0.05642632526490862,0.024695999999999985
double_well,1.8000000000000007,0.06759274405716237,0.06619145165201168,0.022260218749999994
double_well,2.0,0.07851957786589103,0.07740160859607165,0.019687500000000004
double_well,2.200000000000001,0.09061408202721936,0.08986946867314297,0.01702771874999999
double_well,2.4000000000000004,0.10352130526339338,0.10323703706596538,0.014335999999999996
double_well,2.6000000000000014,0.11670414903037556,0.11695230478840976,0.011672718749999979
double_well,2.8000000000000007,0.12944437365958003,0.13026883529912103,0.009103499999999994
double_well,3.0,0.14087422800310664,0.14227807786052732,0.00669921875
double_well,3.200000000000001,0.15004420353477615,0.15198049728840202,0.004535999999999989
double_well,3.4000000000000004,0.1560257303053739,0.1583944043816804,0.002695218749999997
double_well,3.6000000000000014,0.15803844856248186,0.1606914322879317,0.001263499999999992
double_well,3.8000000000000007,0.15558203016423328,0.15833718625374357,0.000332718749999998
double_well,4.0,0.14854549431291655,0.15120800236054116,0.0
double_well,4.199999999999999,0.13726589172733628,0.13965365110983322,0.0003677187499999971
double_well,4.400000000000002,0.12251531469869797,0.12448349849361767,0.001543500000000016
double_well,4.600000000000001,0.10541012511431143,0.10686975473288361,0.0036402187500000206
double_well,4.800000000000001,0.08725563400964158,0.0881821850539114,0.006776000000000013
double_well,5.0,0.06935730010934249,0.06978770162183852,0.011074218750000002
double_well,5.199999999999999,0.05283949691641468,0.05285874467923158,0.016663499999999977
double_well,5.400000000000002,0.038510938224567255,0.038232022994448764,0.02367771875000008
double_well,5.600000000000001,0.026802163157447014,0.026344327515689582,0.032256000000000076
double_well,5.800000000000001,0.01777981467166774,0.017249931995075487,0.04254271875000004
double_well,6.0,0.011222184227326086,0.010702525266289814,0.05468750000000001
double_well,6.199999999999999,0.006727464707485583,0.006270941367824259,0.06884521874999995
double_well,6.400000000000002,0.0038237601727460655,0.0034557049841949542,0.0851760000000002
double_well,6.600000000000001,0.002057060211892533,0.0017812975107343136,0.10384521875000013
double_well,6.800000000000001,0.0010456435097537643,0.0008522510601178222,0.1250235000000001
double_well,7.0,0.0005013898462236562,0.000373970014427782,0.14888671875
double_well,7.200000000000003,0.00022641759456958798,0.00014753036956566352,0.17561600000000038
double_well,7.400000000000002,9.6136517507983e-05,5.045103168267051e-05,0.20539771875000037
double_well,7.600000000000001,3.831997052625574e-05,1.383112599099703e-05,0.23842350000000023
double_well,7.800000000000001,1.4316951192826804e-05,2.5918037928634337e-06,0.27489021875000014
double_well,8.0,5.0062265333863445e-06,3.1972463979452834e-07,0.31500000000000006
double_well,8.200000000000003,1.6359418822473296e-06,3.5997240056175495e-26,0.3589602187500007
double_well,8.400000000000002,4.988882803615568e-07,3.9773884418100336e-27,0.40698350000000044
double_well,8.600000000000001,1.417803803304166e-07,2.9062763840756454e-28,0.4592877187500004
double_well,8.8,3.749948748065878e-08,1.3203046432104285e-29,0.5160960000000002
double_well,9.0,9.218713541379159e-09,3.527045902459129e-31,0.57763671875
double_well,9.200000000000003,2.1038357989918165e-09,5.289867333665642e-33,0.6441435000000012
double_well,9.400000000000002,4.451770018626572e-10,4.2966325584933207e-35,0.7158552187500009
double_well,9.600000000000001,8.724460708642598e-11,1.839994254287713e-37,0.7930160000000006
double_well,9.8,1.5818254007359975e-11,4.074561416160084e-40,0.8758752187500005
double_well,10.0,2.6506092620484468e-12,4.601684888690492e-43,0.9646875000000001
double_well,10.200000000000003,4.1008865165197026e-13,2.6247178667361976e-46,1.0597127187500017
double_well,10.400000000000002,5.852713547027714e-14,7.509200242320017e-50,1.1612160000000011
double_well,10.600000000000001,7.698606519509382e-15,1.0723930975042512e-53,1.2694677187500008
double_well,10.8,9.326004710294957e-16,7.618902582053804e-58,1.3847435000000006
double_well,11.0,1.0396483818707191e-16,2.6864355133779337e-62,1.5073242187500002
double_well,11.200000000000003,1.0658270788262384e-17,4.6933323329887215e-67,1.6374960000000023
double_well,11.400000000000002,1.0041542747110569e-18,4.057872044541395e-72,1.7755502187500012
double_well,11.600000000000001,8.683368811427223e-20,1.7348847534139424e-77,1.9217835000000012
double_well,11.8,6.831342050380789e-21,3.665683918269443e-83,2.0764977187500007
double_well,12.0,4.351915706210195e-22,3.8283914103857834e-89,2.24
